mob,alias,placeholder,can_skip_spawn,spawntime
"A Sapling",,,0,7200
"Abandoned Hope",,,0,3600
"Abmouth Indomitus",,,1,32400
"Acidic Prisoner",,,0,900
"Assault Commander Pax",,,0,7200
"Assault Commander Sleek",,,0,7200
"Atma",,,1,10800
"Best in Brass",,,0,1200
"Brigadier Crux",,,0,7200
"Burning Prisoner",,,0,900
"Carillion Thunder",,,0,7200
"Cenobite Shadow",,,0,3600
"Cerubin The Reborn",,,1,32400
"Chief Gunner Kyle Swan",,,0,7200
"Clan Modified A-4000",,,0,
"Clan Modified A-4001",,,0,
"Colonel Frank Kaehler",,,1,1200
"Commander Jocasta",,,0,3600
"Commander Kelly Frederickson",,,1,1200
Cuty,,,0,1200
"Cyborg Executioner",,,0,600
"Dangerous Prisoner",,,0,900
"Daria Marie Walzer",,,1,1200
"Deadly Prisoner",,,0,900
"Defender of the Three",,,0,600
"Desert Nomad Commando",,,0,7200
"Diamondine Soldier",,"Diamondine Trainee",0,1200
"Diseased Prisoner",,,0,900
"Electro Unique",,,0,1200
"Elian Zuwadza",,,1,1200
"Explosive Prisoner",,,0,900
"Fiery Soldier",,"Fiery Trainee",0,900
"Force Recon Commander 191",,,0,7200
Galvano,,,0,1200
"Ganking Uncle Pumpkin-Head",,,0,21600
"Gartua the Doorkeeper",,,0,600
"General Kronillis",,,0,600
"General Nirtox",,,0,600
"General Vivyan",,,0,300
George,,,0,1200
"Greasy Joints",,,0,1200
"Guardian of Tomorrow",,,0,600
"High Commander Fredrickson",,,0,10800
"High Commander Jameson",,,0,600
"High Commander Riker",,,0,600
"Jack ""Leg-Chopper"" Menendez",,,0,65400
"Jack Legchopper Clone",,"Soul Swapper",0,900
Joo,,,0,1200
"Lab Director",,,1,420
"Lien the Memorystalker",,,0,600
"Live Metal",,,0,1200
"Ljotur the Lunatic",,"Polymorphed Lunatic",0,900
"Lord of Sand",,,0,1200
"Loren Warr",,,0,32400
M.A.G.S.,"mags",,0,600
"Major Woon",,,0,7200
"Mantis Queen",,,0,2100
"Marcus Robicheaux",,,1,1200
Metalomania,,,0,1200
"Mick Nugget McMullet",,,1,1200
Morty,,,0,1200
"Murderous Prisoner",,,0,900
"Notum Soldier",,"Notum Trainee",0,1200
"Nuts & Bolts",,,0,1200
"Obediency Enforcer",,"Obediency Inspector",0,900
"Omni-Pol Command Juggernaut",,,0,10800
Oscar,,,0,1200
Otacustes,,"Primus &lt;something&gt;",0,900
Ownz,,,0,1200
"Peal Thunder",,,0,7200
"Poisonous Prisoner",,,0,900
Polly,,,0,1200
Powa,,,0,1200
"Prime Evolution Huzzum",,,0,120
"Professor Van Horn",,,1,1200
"Prototype A-9000 Guardbot",,,0,
"Prototype Inferno",,,0,600
"R-2000 Vermin Disposal Unit",,,1,1200
"Razor the Battletoad",,,0,7200
"Research Dome 1 Warden",,,0,3600
"Research Dome 2 Warden",,,0,3600
"Research Dome 3 Warden",,,0,3600
"Resurrecting Swamp Hag",,,0,7200
"Silenced Prisoner",,,0,900
"Special Agent Deko",,,0,7200
"Special Agent Lamb",,"Lamb's Apprentice",0,900
"Special Agent Moxy",,,0,7200
"Spiritual Prisoner",,,0,900
"Stinking Scorpid",,,0,1800
Stumpy,,,0,1200
"Supply Master Eel",,,0,10800
"Supply Master Smug",,,0,10800
"T.A.M.","tam",,1,21600
"T.I.M.","tim",,0,900
Tarasque,,,0,32400
"Temporal Prisoner",,,0,900
"The Curator",,,0,600
"The Escaped Gargantula",,,1,1200
"The Hollow Reaper",,,0,32400
"The Iron Reet",,,1,1200
"The One",,"Harbinger of the One",1,1200
"The Pest",,"Rotten Plague",0,900
"Torrith The Ancient",,,1,1200
"Trash King",,,0,1200
"Trash King Lackey",,,1,420
"Tri Plumbo",,,0,600
"Umbral Prisoner",,,0,900
"Unicorn Access Supervisor",,,0,3600
"Warchief Skawt",,,0,600
Wardog,,,0,600
"Xark the Battletoad",,,0,7200
"Zaal The Immortal",,,1,21600
